x,age,workclass,education,educational-num,marital-status,race,gender,hours-per-week,income
1,25,Private,11th,7,Never-married,Black,Male,40,<=50K
2,38,Private,HS-grad,9,Married-civ-spouse,White,Male,50,<=50K
3,28,Local-gov,Assoc-acdm,12,Married-civ-spouse,White,Male,40,>50K
4,44,Private,Some-college,10,Married-civ-spouse,Black,Male,40,>50K
5,18,?,Some-college,10,Never-married,White,Female,30,<=50K
6,34,Private,10th,6,Never-married,White,Male,30,<=50K
7,29,?,HS-grad,9,Never-married,Black,Male,40,<=50K
8,63,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,White,Male,32,>50K
9,24,Private,Some-college,10,Never-married,White,Female,40,<=50K
10,55,Private,7th-8th,4,Married-civ-spouse,White,Male,10,<=50K
11,65,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
12,36,Federal-gov,Bachelors,13,Married-civ-spouse,White,Male,40,<=50K
13,26,Private,HS-grad,9,Never-married,White,Female,39,<=50K
14,58,?,HS-grad,9,Married-civ-spouse,White,Male,35,<=50K
15,48,Private,HS-grad,9,Married-civ-spouse,White,Male,48,>50K
16,43,Private,Masters,14,Married-civ-spouse,White,Male,50,>50K
17,20,State-gov,Some-college,10,Never-married,White,Male,25,<=50K
18,43,Private,HS-grad,9,Married-civ-spouse,White,Female,30,<=50K
19,37,Private,HS-grad,9,Widowed,White,Female,20,<=50K
20,40,Private,Doctorate,16,Married-civ-spouse,Asian-Pac-Islander,Male,45,>50K
21,34,Private,Bachelors,13,Married-civ-spouse,White,Male,47,>50K
22,34,Private,Some-college,10,Never-married,Black,Female,35,<=50K
23,72,?,7th-8th,4,Divorced,White,Female,6,<=50K
24,25,Private,Bachelors,13,Never-married,White,Male,43,<=50K
25,25,Private,Bachelors,13,Married-civ-spouse,White,Male,40,<=50K
26,45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,90,>50K
27,22,Private,HS-grad,9,Never-married,White,Male,20,<=50K
28,23,Private,HS-grad,9,Separated,Black,Male,54,<=50K
29,54,Private,HS-grad,9,Married-civ-spouse,White,Male,35,<=50K
30,32,Self-emp-not-inc,Some-college,10,Never-married,White,Male,60,<=50K
31,46,State-gov,Some-college,10,Married-civ-spouse,Black,Male,38,>50K
32,56,Self-emp-not-inc,11th,7,Widowed,White,Female,50,<=50K
33,24,Self-emp-not-inc,Bachelors,13,Never-married,White,Male,50,<=50K
34,23,Local-gov,Some-college,10,Married-civ-spouse,White,Male,40,<=50K
35,26,Private,HS-grad,9,Divorced,White,Female,40,<=50K
36,65,?,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
37,36,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,40,>50K
38,22,Private,5th-6th,3,Never-married,White,Male,50,<=50K
39,17,Private,10th,6,Never-married,White,Male,40,<=50K
40,20,Private,HS-grad,9,Never-married,White,Male,40,<=50K
41,65,Private,Masters,14,Married-civ-spouse,White,Male,50,>50K
42,44,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,White,Male,45,>50K
43,36,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
44,29,Private,11th,7,Married-civ-spouse,White,Male,40,<=50K
45,20,State-gov,Some-college,10,Never-married,White,Male,32,<=50K
46,28,Private,Assoc-voc,11,Married-civ-spouse,White,Female,36,>50K
47,39,Private,7th-8th,4,Married-civ-spouse,White,Male,40,<=50K
48,54,Private,Some-college,10,Married-civ-spouse,White,Male,50,<=50K
49,52,Private,11th,7,Separated,Black,Female,18,<=50K
50,56,Self-emp-inc,HS-grad,9,Widowed,White,Female,50,<=50K
51,18,Private,Some-college,10,Never-married,White,Male,20,<=50K
52,39,Private,HS-grad,9,Divorced,Black,Male,40,<=50K
53,21,Private,Some-college,10,Never-married,White,Female,24,<=50K
54,22,Private,HS-grad,9,Never-married,White,Male,60,>50K
55,38,Private,9th,5,Married-spouse-absent,White,Male,54,<=50K
56,21,Private,Some-college,10,Never-married,White,Female,40,<=50K
57,63,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
58,34,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,50,>50K
59,42,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,50,>50K
60,33,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
61,30,Private,Bachelors,13,Never-married,White,Female,50,<=50K
62,39,Private,Some-college,10,Divorced,White,Male,40,<=50K
63,26,Private,Masters,14,Never-married,White,Female,40,<=50K
64,33,Private,HS-grad,9,Never-married,White,Female,40,<=50K
65,47,Local-gov,HS-grad,9,Divorced,White,Female,40,<=50K
66,41,Private,Bachelors,13,Never-married,White,Female,40,<=50K
67,41,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,White,Male,60,>50K
68,19,Private,Some-college,10,Never-married,White,Male,20,<=50K
69,46,Private,HS-grad,9,Separated,White,Male,40,<=50K
70,43,Private,HS-grad,9,Married-civ-spouse,White,Male,48,<=50K
71,55,Private,Some-college,10,Married-civ-spouse,White,Male,45,>50K
